id,house_value,house_age,household_size,vacant_units,population,income,age_population,postgrads,no_hs,diversity_index,unemployment,employed_technology,dist_landfills,dist_airports,dist_libraries,dist_supermarkets,dist_malls,dist_police,dist_hospitals,dist_universities,dist_schools,dist_parks,dist_coast,latitude,longitude
60133551071,1026398,1975,1.57,53,1016,95644,41.9,17.91,1.48,83.9,10.03,0.54,15.26,28.77,9.92,10.99,10.73,13.91,8.08,10.17,7.18,4.64,39.53,37.92,-121.82
60133200011,679167,1961,3.42,33,2611,74714,39.5,2.83,0.31,83.2,10.2,2.37,1.97,6.94,3.99,8.13,4.29,4.45,4.68,4.2,2.6,2.15,14.19,38.03,-122.1
60133342003,1388235,1974,2.15,32,610,90251,65.9,23.93,8.36,57,17.16,6.61,15.5,15.35,1.64,1.82,1.82,2.94,1.74,7.39,0.85,0.62,20.95,37.88,-122.07
60133211031,660519,1982,2.8,10,1915,108168,42.4,16.71,0.57,64.7,3.47,7.97,5.59,6.53,4.26,5.67,0.95,3.46,7.79,3.15,2.5,0.44,17.29,37.96,-122.1
60133461011,658003,1975,3.02,13,1711,85746,47.4,46.17,0,56.9,3.47,4.94,17.5,16.97,3.79,4.52,2.96,5.43,4.25,8.43,0.57,0.51,22.77,37.87,-122.03
60133452034,843421,1955,1.96,34,757,87012,48,39.89,0,46.6,3.99,7.2,23.6,23.02,2.29,1.46,2.46,1.01,9.75,2.51,1,0.93,21.04,37.83,-122.01
60133451143,596963,1962,4.77,4,2130,75736,46.8,22.02,0,52.5,2.47,4.62,18.83,27.92,4.02,4.24,3.68,5.47,4.24,3.86,1.48,1.02,22.82,37.81,-121.97
60133551123,815737,1993,2.53,34,2056,119101,53,31.42,1.07,59.8,1.26,2.72,21.13,27.02,8.38,8.92,4.25,9.12,8.77,8.49,4.16,0.23,27.57,37.83,-121.92
60133522021,992574,1994,3.16,4,691,166594,48.6,86.69,1.88,55.8,3.71,3.78,11.22,16.72,4.39,9.27,5.31,5.67,8.91,4.99,0.52,0.84,11.31,37.83,-122.16
60133540011,819882,1993,3.07,9,688,154834,47.5,93.46,2.62,56.1,0.63,3.51,17.42,22.91,3.21,6.54,2.96,3.42,6,4.62,2.24,0.33,8.18,37.88,-122.22
60133592021,613636,1985,3.18,368,1885,72179,44.4,14.32,2.33,87.1,0,1.93,4.54,24.96,0.45,0.67,2.65,1.92,16.61,7.1,0.69,0.91,2.85,37.99,-122.28
60133620003,722672,1998,3.65,8,2088,114722,47,11.06,0.86,78.3,3.2,0,5.86,29.61,2.45,6.39,2.96,3.73,13.85,4.49,0.31,0.45,3.82,37.94,-122.32
60133770004,612385,1978,3.12,32,3153,99501,33.1,0.06,12.53,76.5,21.63,0,8.63,34.04,2.37,8.81,3.03,2.84,16.32,5.87,0.28,0.18,1.25,37.93,-122.37
60133462041,435714,1976,4.44,8,2432,80549,46.6,22.25,0,60.9,0,3.32,20.83,25.95,3.5,3.99,3.53,4.53,6.38,3.55,1.92,1.92,23.79,37.82,-121.96
60190078024,594156,1957,4.75,4,1908,103875,29.1,0,27.1,52.6,11.54,0,25.98,81.52,1.98,98.44,29.56,1.18,26.51,27.56,1.06,0.43,110.06,36.2,-120.11
60014281001,596398,1976,4.19,8,1619,95820,42.8,15.5,0.37,69.8,0.86,2.97,2.29,5.01,2.08,2.51,2.65,2.16,2.94,2.78,0.55,0.05,1.15,37.76,-122.23
60014281002,650162,1982,3.66,3,1679,126708,43.4,13.34,0,72.3,0,4.69,2.74,5.62,1.35,2.01,2.08,1.44,2.3,2.57,0.67,0.25,1.18,37.76,-122.23
60014281003,776042,1980,4.11,3,1979,85470,45.8,14.55,2.68,71.9,5.73,4.92,3.4,6.04,0.8,1.43,1.45,0.87,1.61,2.84,0.71,0.28,1.11,37.76,-122.24
60014281004,623047,1967,3.93,11,1543,163477,40.6,4.15,1.88,74.7,0,2.84,3.33,6.34,0.55,1.69,1.65,0.64,1.71,2.53,0.46,0.43,1.41,37.76,-122.24
